Date,BRAZIL (BVSP),RUSSIA (MOEX),INDIA (NIFTY),CHINA (SSE)
2015-01-05,-0.0497930289759434,0.0226886523405736,0.015779152062558532,0.05834330352286998
2015-01-06,0.010185828229896776,0.024834545258070495,-0.02996398850425841,0.00027667414752863273
2015-01-08,0.04045749046894853,0.0,0.013196122931432797,-0.01730297585620244
2015-01-09,-0.02208517710189617,-0.028433029821731126,0.00605984423886996,-0.0024424027118225
2015-01-12,-0.014332514332514368,-0.009145261023999374,0.004647232784114941,-0.017074324053999557
2015-01-13,-0.0020357291233901176,-0.018123917394272437,-0.002835469061636564,0.0018533668281384141
2015-01-14,-0.008242787560884257,0.046316948083483744,-0.0026327909211000255,-0.0039761409836662764
2015-01-15,0.007975485874994748,0.009473931183458406,0.026167234399382622,0.03538255847217764
2015-01-16,0.020634656227876524,0.01132686297268104,0.0023132877445659616,0.012000772695552664
2015-01-19,-0.025684966440214674,0.015200071736198195,0.004334185774291788,-0.07704558543272455
2015-01-20,0.0024917291343857784,-0.022852584815876376,0.016945912111937966,0.018194653507771053
2015-01-21,0.02813459489942982,0.04032245104455523,0.0038985685317103336,0.047449295474861986
2015-01-22,0.0044490492442710305,0.05426364596553235,0.003654320522366694,0.005937189852024183
2015-01-23,-0.013510507048520526,0.016323497601890002,0.008468876513875845,0.0025184133056934677
2015-01-27,-0.0037724243977447225,-0.01837652808749579,0.008477114662790441,0.0003568404666840497
2015-01-28,-0.018439628737832114,0.0023585493637130472,0.0004264412771450843,-0.01408365281699231
2015-01-29,0.0014047594087429616,0.01911764595046561,0.004268400752985402,-0.013138701407633624
2015-01-30,-0.017880323269544807,0.010100924194258454,-0.01602363896242265,-0.015921839338346677
2015-02-02,0.015839515647650737,-0.0048569949075326635,-0.0013054977908195653,-0.025561902829745353
2015-02-03,0.027554510923170517,0.055124745204486514,-0.004643483777524771,0.024488358469478833
2015-02-04,0.006882607630095627,-0.002720869204822507,-0.0037514330108925353,-0.00960433646682346
2015-02-05,-0.0013589988032697287,-0.01773549519462614,-0.0013755630904048743,-0.01184419625194999
2015-02-06,-0.008977535849209906,0.03888889389018346,-0.005814064862914914,-0.019328367513035793
2015-02-09,0.012112641416625713,-0.008021529552200035,-0.015552409815521195,0.006247601475745768
2015-02-10,-0.01767814835064696,-0.03962248539118507,0.004597535615783466,0.01501361323639605
2015-02-11,-0.005565862708719838,-0.010665371535472867,0.007220854166756885,0.0051283167194764445
2015-02-12,0.026803482587064664,0.028369035128924747,0.009753739270961015,0.0049757398073013714
2015-02-13,0.022267982960854305,0.0,0.010784555802697326,0.009583013335368484
2015-02-25,0.02320483450509525,0.05655172519900242,-0.004343875986599244,0.007808197742757983
2015-02-26,-0.00096504603269576,0.011096502509500006,-0.009512719609911846,0.021529652761830276
2015-02-27,-0.0034388825563648195,-0.007101148411226221,0.018511375396621066,0.0036212226774581247
2015-03-02,-0.010895062326735538,-0.01157349850256173,0.012680098134219442,0.007848808149835573
2015-03-03,0.005546735657866453,-0.01486657018409232,0.004410081781896391,-0.021950436467999213
2015-03-04,-0.016295025728988,-0.056223354729098785,-0.008181143142976355,0.005050779757692636
2015-03-05,-0.002040897202187475,-0.009480713253541828,0.0016922784529618262,-0.00946991092581373
2015-03-10,-0.041139680333564965,-0.07142843761129603,-0.02525246230874656,0.01157220805807313
2015-03-11,0.012693351003250974,0.044615320574594275,-0.0013888361833120921,0.0014703855279032396
2015-03-12,-0.0005316321105794941,0.019145712805494597,0.008741406938594709,0.01775292404502915
2015-03-13,-0.005810147299509016,-0.02745655951233117,-0.014613719234275346,0.007042584729536561
2015-03-16,0.0051856119845254955,-0.0005944132190295326,-0.0016882552108931081,0.022649291817682382
2015-03-17,0.029417785784474182,-0.011299380583334018,0.010442238339086751,0.015522545282465217
2015-03-18,0.024679327831361286,0.018045085683607187,-0.0042873012318761505,0.021255311069939165
2015-03-19,-0.011101191631409435,-0.010487444167863624,-0.005900366996276274,0.0013893074598048116
2015-03-20,0.01988067668877802,-0.017763730821124146,-0.00738304356438646,0.00978349182379934
2015-03-23,-0.001135335886235489,0.0027354124869023444,-0.0023334771246439345,0.01946467237924976
2015-03-24,-0.007744470987131047,0.045771479236922374,-0.0009297495744854389,0.0009984155482840595
2015-03-25,0.006834155244049178,0.003623251331480226,-0.0014222709629174712,-0.008311962564833575
2015-03-26,-0.024644220756681712,0.002599309898077884,-0.022113918778099984,0.005837069987002508
2015-03-27,-0.009588770264926882,-0.04004033394806894,-8.990487642235312e-05,0.002444525757996807
2015-03-30,0.022916458728416078,0.03510868725223881,0.018090417307244477,0.025865534077377905
2015-03-31,-0.001814882032667886,0.0001449466905778518,-0.00015305689034139647,-0.010212199497169228
2015-04-01,0.02291300097751714,0.018260963882505532,0.011217759981156483,0.016647999380973832
