,BRAZIL (BVSP),RUSSIA (MOEX),INDIA (NIFTY),CHINA (SSE)
ADF statistic,-15.909180799656653,-22.124344925013936,-19.711290068397897,-7.1308054789292425
p value,8.160852573056785e-29,0.0,0.0,3.5219318495240876e-10
AIC autolag,1,0,0,6
Critical 1%,-3.4457939940402107,-3.445757604526768,-3.445757604526768,-3.445978550826048
Critical 5%,-2.8683485906158963,-2.8683325885102855,-2.8683325885102855,-2.8684297456394874
Critical 10%,-2.570396746236417,-2.5703882165206853,-2.5703882165206853,-2.570440005247093
