,Skewness,Kurtosis,"Jarque Bera (Value, P(Normal))"
BRAZIL (BVSP),0.40683222245512174,2.0692899065231973,85.30080051134796
RUSSIA (MOEX),0.2789817944712801,1.3924378728152913,38.60623774045572
INDIA (NIFTY),-0.6488544822456819,2.9222354061971947,177.14579921995346
CHINA (SSE),-0.7107300372717702,4.337872046150137,361.448403218716
