,BRAZIL (BVSP),RUSSIA (MOEX),INDIA (NIFTY),CHINA (SSE)
count,428.0,428.0,428.0,428.0
mean,0.0005874306839524112,0.002228656706098809,1.332100548400649e-05,0.00019516053189060843
std,0.017545822316640963,0.021891115758472402,0.010442729845042392,0.022128907559547138
min,-0.05773886769063896,-0.07329330421446434,-0.059150980845132595,-0.10266282064752397
25%,-0.01038116703661257,-0.010675266415664492,-0.004921140632864557,-0.007416773677127925
50%,0.0003659947687937315,0.000752404985922217,7.436412415773308e-05,0.001134976072147853
75%,0.010208128236504521,0.013947414807383929,0.0060978137044013225,0.009379061597339089
max,0.08983776825939316,0.09607165540282225,0.033669432244729736,0.10567174397510404
